university_id,university_name,url
152,Nagoya University,https://nominatim.openstreetmap.org/search.php?q=Nagoya%20University%20Nagoya%20JP&format=geojson&addressdetails=1&limit=1
153,Texas A&M University,https://nominatim.openstreetmap.org/search.php?q=Texas%20A%26M%20University%20College%20Station%20US&format=geojson&addressdetails=1&limit=1
154,University Of Geneva,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Geneva%20Geneva%20CH&format=geojson&addressdetails=1&limit=1
155,"University Of North Carolina, Chapel Hill",https://nominatim.openstreetmap.org/search.php?q=University%20Of%20North%20Carolina%2C%20Chapel%20Hill%20Chapel%20Hill%20US&format=geojson&addressdetails=1&limit=1
156,Wageningen University & Research,https://nominatim.openstreetmap.org/search.php?q=Wageningen%20University%20%26%20Research%20Wageningen%20NL&format=geojson&addressdetails=1&limit=1
157,Erasmus University Rotterdam,https://nominatim.openstreetmap.org/search.php?q=Erasmus%20University%20Rotterdam%20Rotterdam%20NL&format=geojson&addressdetails=1&limit=1
158,Université De Montréal,https://nominatim.openstreetmap.org/search.php?q=Universit%C3%A9%20De%20Montr%C3%A9al%20Castro%20CA&format=geojson&addressdetails=1&limit=1
159,University Of Groningen,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Groningen%20Groningen%20NL&format=geojson&addressdetails=1&limit=1
160,University Of Bern,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Bern%20Bern%20CH&format=geojson&addressdetails=1&limit=1
161,Hanyang University,https://nominatim.openstreetmap.org/search.php?q=Hanyang%20University%20Seoul%20KR&format=geojson&addressdetails=1&limit=1
162,Al-Farabi Kazakh National University,https://nominatim.openstreetmap.org/search.php?q=Al-Farabi%20Kazakh%20National%20University%20Cairo%20KZ&format=geojson&addressdetails=1&limit=1
163,Complutense University Of Madrid,https://nominatim.openstreetmap.org/search.php?q=Complutense%20University%20Of%20Madrid%20Madrid%20ES&format=geojson&addressdetails=1&limit=1
164,Universitat De Barcelona,https://nominatim.openstreetmap.org/search.php?q=Universitat%20De%20Barcelona%20Castro%20ES&format=geojson&addressdetails=1&limit=1
165,University Of Liverpool,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Liverpool%20Liverpool%20UK&format=geojson&addressdetails=1&limit=1
166,Kyushu University,https://nominatim.openstreetmap.org/search.php?q=Kyushu%20University%20Fukuoka%20JP&format=geojson&addressdetails=1&limit=1
167,University Of Wollongong,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Wollongong%20Wollongong%20AU&format=geojson&addressdetails=1&limit=1
168,Ghent University,https://nominatim.openstreetmap.org/search.php?q=Ghent%20University%20Ghent%20BE&format=geojson&addressdetails=1&limit=1
169,The University Of Exeter,https://nominatim.openstreetmap.org/search.php?q=The%20University%20Of%20Exeter%20Exeter%20UK&format=geojson&addressdetails=1&limit=1
170,University Of Cape Town,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Cape%20Town%20Cape%20Town%20ZA&format=geojson&addressdetails=1&limit=1
171,University Of Reading,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Reading%20Reading%20UK&format=geojson&addressdetails=1&limit=1
172,Hokkaido University,https://nominatim.openstreetmap.org/search.php?q=Hokkaido%20University%20Sapporo%20JP&format=geojson&addressdetails=1&limit=1
173,Curtin University,https://nominatim.openstreetmap.org/search.php?q=Curtin%20University%20Perth%20AU&format=geojson&addressdetails=1&limit=1
